Product Name,Product Price,Product Description,Product Reviews
"SAMSUNG Galaxy S23 5G (Cream, 128 GB)","₹39,999",8 GB RAM | 128 GB ROM15.49 cm (6.1 inch) Full HD+ Display50MP + 10MP + 12MP | 12MP Front Camera3900 mAh Lithium Ion BatteryQualcomm Snapdragon 8 Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.4
"SAMSUNG Galaxy A56 5G (Awesome Olive, 256 GB)","₹41,999",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 12MP + 5MP | 12MP Front Camera5000 mAh BatterySamsung Exynos 1580 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.6
"Google Pixel 8 (Hazel, 128 GB)","₹47,999",8 GB RAM | 128 GB ROM15.75 cm (6.2 inch) Full HD+ Display50MP + 12MP | 10.5MP Front Camera4575 mAh BatteryTensor G3 Processor1 Year Domestic Warranty,4.6
"SAMSUNG Galaxy A56 5G (Awesome Light Gray, 256 GB)","₹49,995",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 12MP + 5MP | 12MP Front Camera5000 mAh BatterySamsung Exynos 1580 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.6
"SAMSUNG Galaxy A56 5G (Awesome Graphite, 256 GB)","₹41,999",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 12MP + 5MP | 12MP Front Camera5000 mAh BatterySamsung Exynos 1580 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.3
"IQOO Neo 9 Pro (Conqueror Black, 256 GB)","₹41,990",8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera5160 mAh Battery1 Year on Handset and 6 Months on Accessories,4.3
"SAMSUNG Galaxy A36 5G (Awesome Lavender, 256 GB)","₹35,999",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP | 12MP Front Camera5000 mAh BatteryQualcomm Snapdragon 6 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.4
"IQOO Neo 9 Pro (Fiery Red, 256 GB)","₹37,999",8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera5160 mAh Battery1 Year on Handset and 6 Months on Accessories,4.3
"Apple iPhone 12 (Blue, 64 GB)","₹48,900","64 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA14 Bionic Chip with Next Generation Neural Engine ProcessorCeramic ShieldIndustry-leading IP68 Water ResistanceAll Screen OLED Display12MP TrueDepth Front Camera with Night Mode, 4K Dolby Vision HDR Recording1 year warranty for phone and 1 year warranty for in Box Accessories.",4.4
"Samsung Galaxy S21 FE 5G with Snapdragon 888 (Graphite, 128 GB)","₹45,999",8 GB RAM | 128 GB ROM16.26 cm (6.4 inch) Full HD+ Display12MP + 12MP + 8MP (OIS) | 32MP Front Camera4500 mAh Lithium-ion BatterySnapdragon 888 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.3
